"#","Name","Brief Description","Observations"
"1","Sequential Phase Control","Position locked via cursor movement + click. Size via Y-up/down. Rotation via Y-up/down. Click locks each. Phases run in order: position → rotation → size.","Separating position from size/rotation reduces cognitive load. One task at a time instead of all 4DOF simultaneously."
"2","Green Range Indicators + Cursor Design","Yellow when close to target, green when in tolerance zone. Crosshair replaced with green circle at target center showing tolerance radius. Directional up/down arrows on cursor. Yellow removed, green-only feedback.","Green circle gave clearer aiming point than crosshair. Directional hints helped users know which way to move. Yellow removed to simplify signal."
"3","Guide Band","Semi-transparent green band (widened from a single line) spanning the correct tolerance range for current dimension. Connects cursor to target.","Range band better communicates the tolerance zone. Single line was ambiguous — band made the acceptable range visually obvious."
"4","Phase 1 Tolerance Reticle","Pulsing green rectangle in mouse-space showing exact size+rotation tolerance zone. Dimensions computed from sizeScale and rotScale tolerances.","Abstract tolerance made concrete as a visible target to aim for. Users stopped guessing and aimed at the rectangle."
"5","Look-ahead Preview","Fixed green rectangle during phase 0 showing where phase 1 target will land based on ideal click at target center. Ghost dot for next trial's position.","Pre-planning the next movement before committing current click saves time at transitions. Predictive — not reactive."
"6","Performance Optimisations Bundle","Variable sensitivity: fast mouse = coarse adjustment, slow = fine. Anchor reset on phase entry giving full range of motion. Instruction text removed. Grey destination square outlines faded to reduce visual noise.","Reached ~3.4 s per square. Sensitivity scaling was biggest single gain — removed forced slow micro-movements for large adjustments."
"7","2D Simultaneous Size+Rotation Control","After locking position, X-axis controls size and Y-axis controls rotation in a single combined phase. Two sequential 1D movements replaced with one diagonal movement. Tolerance zone shown as filled green rectangle.","Theoretically faster due to shorter total travel distance. 2D target harder to acquire than 1D band but visible rectangle made it manageable."
"8","Consistent Start State","Logo resets to screen centre, average size, 0° rotation at the start of each trial.","Removed carry-over variance from previous trial. Every trial starts from same known state enabling muscle memory to develop."
"9","Fixed Phase 0 Preview","Preview rectangle shown during phase 0 based on ideal click position (d.x, d.y) not current cursor — stays fixed rather than moving with mouse.","Moving preview was confusing — fixed preview let users plan the phase 1 move without chasing a shifting target."
"10","Flashing + Ghost Navigation","Current target flashes for visibility. Next trial's position shown as ghost circle. Faint path line drawn from current target to next ghost. Ghost brightness and line opacity tuned for visibility.","Pre-planning next move while executing current one. Reduced reaction time at trial transitions. Path line gives directional intent at a glance."
"11","Error Feedback","Red screen flash on failed submission. Separate early red flash when position click lands outside tolerance before phase 1 starts.","Immediate signal that something went wrong. Users adjusted strategy mid-experiment rather than only noticing at the end screen."
